"zero_indices","animal_id","birth_year","bs","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
FALSE,"270-2014-0-445",2014,"wy",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FALSE,"270-2014-0-446",2014,"wy",0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
FALSE,"270-2014-0-447",2014,"wy",0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
FALSE,"270-2014-0-448",2014,"wy",0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0
FALSE,"270-2014-0-449",2014,"wy",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
FALSE,"270-2014-0-450",2014,"wy",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
FALSE,"270-2014-0-451",2014,"wy",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
FALSE,"270-2014-0-452",2014,"wy",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
FALSE,"270-2014-0-453",2014,"wy",0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
FALSE,"270-2014-0-454",2014,"wy",0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
FALSE,"270-2014-0-455",2014,"wy",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2
FALSE,"270-2014-1-402",2014,"dmp",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FALSE,"270-2014-1-403",2014,"dmp",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
FALSE,"270-2014-1-406",2014,"dmp",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FALSE,"270-2014-1-407",2014,"dmp",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
FALSE,"270-2014-1-410",2014,"dmp",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
FALSE,"270-2014-1-411",2014,"dmp",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
FALSE,"270-2014-1-412",2014,"dmp",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FALSE,"270-2014-1-413",2014,"dmp",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FALSE,"270-2014-1-414",2014,"dmp",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
FALSE,"270-2014-1-416",2014,"dmp",0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
FALSE,"270-2014-1-418",2014,"dmp",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FALSE,"270-2014-1-421",2014,"dmp",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FALSE,"270-2014-1-422",2014,"dmp",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
FALSE,"270-2014-1-423",2014,"dmp",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
FALSE,"270-2014-1-428",2014,"dmp",0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
FALSE,"270-2014-1-429",2014,"dmp",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FALSE,"270-2014-1-434",2014,"dmp",0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
FALSE,"270-2014-1-438",2014,"dmp",0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
FALSE,"270-2014-1-439",2014,"dmp",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
FALSE,"270-2014-1-440",2014,"dmp",0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
FALSE,"270-2015-0-547",2015,"wy",0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
FALSE,"270-2015-0-548",2015,"wy",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
FALSE,"270-2015-0-549",2015,"wy",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
FALSE,"270-2015-0-550",2015,"wy",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FALSE,"270-2015-0-551",2015,"wy",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
FALSE,"270-2015-0-552",2015,"wy",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
FALSE,"270-2015-0-553",2015,"wy",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
FALSE,"270-2015-0-554",2015,"wy",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FALSE,"270-2015-0-555",2015,"wy",0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
FALSE,"270-2015-0-556",2015,"wy",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FALSE,"270-2015-0-557",2015,"wy",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
FALSE,"270-2015-0-558",2015,"wy",0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
FALSE,"270-2015-0-582",2015,"wy",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
FALSE,"270-2015-0-583",2015,"wy",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
FALSE,"270-2015-0-584",2015,"wy",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FALSE,"270-2015-0-585",2015,"wy",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FALSE,"270-2015-0-586",2015,"wy",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
FALSE,"270-2015-0-587",2015,"wy",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
